"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prokka_AMPS04__gff","Prokka_AMPS05__gff","Prokka_AMPS17__gff","Prokka_AMPS22__gff","Prokka_AMPS23__gff","Prokka_AMPS34__gff"
"tmung","","Type-4 uracil-DNA glycosylase","6","6","1","1","6750","","","","641","662","644","FAPEHDJO_01284","PECMOLEC_07294","GAOMCEMF_01111","HOKMPMND_00227","LGNEOHGC_05711","ANOIEJPP_05751"
"aar_2","","L-alanine/L-glutamate racemase","6","6","1","1","6792","","","","1172","1172","1172","FAPEHDJO_01317","PECMOLEC_07327","GAOMCEMF_01076","HOKMPMND_00252","LGNEOHGC_05677","ANOIEJPP_05781"
"fhuA_2","","Ferrichrome outer membrane transporter/phage receptor","6","6","1","1","6841","","","","1607","2159","2067","FAPEHDJO_01355","PECMOLEC_07364","GAOMCEMF_01037","HOKMPMND_00292","LGNEOHGC_05637","ANOIEJPP_05822"
"fucK","","L-fuculokinase","6","6","1","1","6845","","","","1379","1379","1379","FAPEHDJO_01358","PECMOLEC_07367","GAOMCEMF_01034","HOKMPMND_00295","LGNEOHGC_05634","ANOIEJPP_05825"
"group_1031","hcaB_2","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase","6","6","1","1","6853","","","","728","2096","1868","FAPEHDJO_01365","PECMOLEC_07374","GAOMCEMF_01027","HOKMPMND_00302","LGNEOHGC_05627","ANOIEJPP_05832"
"betC","","Choline-sulfatase","6","6","1","1","6875","","","","1508","1514","1510","FAPEHDJO_01380","PECMOLEC_07392","GAOMCEMF_01476","HOKMPMND_00317","LGNEOHGC_05612","ANOIEJPP_05851"
"thiD","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","6","6","1","1","6905","","","","809","809","809","FAPEHDJO_01392","PECMOLEC_07405","GAOMCEMF_01464","HOKMPMND_00329","LGNEOHGC_05600","ANOIEJPP_05866"
"gsiA_7","","Glutathione import ATP-binding protein GsiA","6","6","1","1","6911","","","","1688","1808","1708","FAPEHDJO_01395","PECMOLEC_07419","GAOMCEMF_01461","HOKMPMND_00335","LGNEOHGC_05597","ANOIEJPP_05878"
"amiC_3","","Aliphatic amidase expression-regulating protein","6","6","1","1","6921","","","","1133","1133","1133","FAPEHDJO_01402","PECMOLEC_07425","GAOMCEMF_01454","HOKMPMND_00341","LGNEOHGC_05590","ANOIEJPP_05883"
"group_1039","","hypothetical protein","6","6","1","1","6928","","","","320","497","467","FAPEHDJO_01407","PECMOLEC_07430","GAOMCEMF_01449","HOKMPMND_00348","LGNEOHGC_05585","ANOIEJPP_05888"
"dgaE","","D-glucosaminate-6-phosphate ammonia lyase","6","6","1","1","6930","","","","731","1196","1118","FAPEHDJO_01408","PECMOLEC_07431","GAOMCEMF_01448","HOKMPMND_00349","LGNEOHGC_05584","ANOIEJPP_05889"
"group_1043","","hypothetical protein","6","6","1","1","6934","","","","731","731","731","FAPEHDJO_01411","PECMOLEC_07436","GAOMCEMF_01445","HOKMPMND_00352","LGNEOHGC_05581","ANOIEJPP_05892"
"allE","","(S)-ureidoglycine aminohydrolase","6","6","1","1","6936","","","","371","818","743","FAPEHDJO_01412","PECMOLEC_07438","GAOMCEMF_01444","HOKMPMND_00353","LGNEOHGC_05580","ANOIEJPP_05893"
"group_1048","","hypothetical protein","6","6","1","1","6949","","","","863","863","863","FAPEHDJO_01429","PECMOLEC_07456","GAOMCEMF_01424","HOKMPMND_00377","LGNEOHGC_05555","ANOIEJPP_05925"
"secD_1","","Protein translocase subunit SecD","6","6","1","1","11206","","","","1319","2540","1928","FAPEHDJO_02163","PECMOLEC_00437","GAOMCEMF_04684","HOKMPMND_03331","LGNEOHGC_04718","ANOIEJPP_00679"
"cbl","","HTH-type transcriptional regulator cbl","6","6","1","1","5227","","","","905","920","915","FAPEHDJO_01433","PECMOLEC_07460","GAOMCEMF_01419","HOKMPMND_00381","LGNEOHGC_05551","ANOIEJPP_05929"
"arg","","Arginase","6","6","1","1","5242","","","","599","893","844","FAPEHDJO_01447","PECMOLEC_07473","GAOMCEMF_01405","HOKMPMND_00395","LGNEOHGC_05538","ANOIEJPP_05942"
"sigG","","ECF RNA polymerase sigma factor SigG","6","6","1","1","5244","","","","950","1073","1052","FAPEHDJO_01449","PECMOLEC_07475","GAOMCEMF_01403","HOKMPMND_00397","LGNEOHGC_05536","ANOIEJPP_05944"
"nifK_1","","Nitrogenase molybdenum-iron protein beta chain","6","6","1","1","8163","","","","1205","1541","1429","FAPEHDJO_01540","PECMOLEC_00227","GAOMCEMF_00991","HOKMPMND_05932","LGNEOHGC_05102","ANOIEJPP_00274"
"pacS","","putative copper-transporting ATPase PacS","6","6","1","1","8273","","","","2270","2285","2282","FAPEHDJO_01554","PECMOLEC_00241","GAOMCEMF_00941","HOKMPMND_05923","LGNEOHGC_05115","ANOIEJPP_00265"
"gfo","","Glucose--fructose oxidoreductase","6","6","1","1","9975","","","","698","1100","966","FAPEHDJO_02344","PECMOLEC_00657","GAOMCEMF_04395","HOKMPMND_03091","LGNEOHGC_04464","ANOIEJPP_00879"
"xthA_1","","Exodeoxyribonuclease III","6","6","1","1","6522","","","","791","833","823","FAPEHDJO_01955","PECMOLEC_00282","GAOMCEMF_04831","HOKMPMND_03465","LGNEOHGC_04893","ANOIEJPP_00525"
"group_1098","","hypothetical protein","6","6","1","1","6590","","","","374","374","374","FAPEHDJO_02069","PECMOLEC_00335","GAOMCEMF_04781","HOKMPMND_03424","LGNEOHGC_04806","ANOIEJPP_00577"
"group_1099","","hypothetical protein","6","6","1","1","11107","","","","503","509","505","FAPEHDJO_02083","PECMOLEC_00354","GAOMCEMF_04766","HOKMPMND_03410","LGNEOHGC_04792","ANOIEJPP_00595"
"mak","","Glucosamine kinase","6","6","1","1","7138","","","","809","3281","1901","FAPEHDJO_00723","PECMOLEC_06871","GAOMCEMF_00501","HOKMPMND_06977","LGNEOHGC_06363","ANOIEJPP_07173"
"dctM_3","","hypothetical protein","6","6","1","1","11130","","","","650","1832","1626","FAPEHDJO_02109","PECMOLEC_00378","GAOMCEMF_04740","HOKMPMND_03384","LGNEOHGC_04771","ANOIEJPP_00619"
"btuD_10","","Vitamin B12 import ATP-binding protein BtuD","6","6","1","1","11139","","","","1052","1058","1057","FAPEHDJO_02117","PECMOLEC_00387","GAOMCEMF_04733","HOKMPMND_03376","LGNEOHGC_04763","ANOIEJPP_00628"
"group_1102","","hypothetical protein","6","6","1","1","11171","","","","341","341","341","FAPEHDJO_02137","PECMOLEC_00403","GAOMCEMF_04713","HOKMPMND_03358","LGNEOHGC_04744","ANOIEJPP_00644"
"serS","","Serine--tRNA ligase","6","6","1","1","11200","","","","989","1283","1234","FAPEHDJO_02157","PECMOLEC_00431","GAOMCEMF_04690","HOKMPMND_03337","LGNEOHGC_04724","ANOIEJPP_00673"
"crtB","","hypothetical protein","6","6","1","1","11209","","","","812","857","842","FAPEHDJO_02165","PECMOLEC_00440","GAOMCEMF_04681","HOKMPMND_03328","LGNEOHGC_04716","ANOIEJPP_00682"
"group_1105","","hypothetical protein","6","6","1","1","11216","","","","797","1103","1052","FAPEHDJO_02170","PECMOLEC_00445","GAOMCEMF_04676","HOKMPMND_03321","LGNEOHGC_04711","ANOIEJPP_00688"
"aspC_1","","Aspartate/prephenate aminotransferase","6","6","1","1","11043","","","","869","1205","1125","FAPEHDJO_02205","PECMOLEC_00478","GAOMCEMF_04636","HOKMPMND_03289","LGNEOHGC_04677","ANOIEJPP_00721"
"group_1108","","hypothetical protein","6","6","1","1","11042","","","","1331","1343","1339","FAPEHDJO_02206","PECMOLEC_00479","GAOMCEMF_04635","HOKMPMND_03288","LGNEOHGC_04676","ANOIEJPP_00722"
"lpxB","","Lipid-A-disaccharide synthase","6","6","1","1","10081","","","","1178","1178","1178","FAPEHDJO_02265","PECMOLEC_00565","GAOMCEMF_04473","HOKMPMND_03183","LGNEOHGC_04542","ANOIEJPP_00788"
"dat","","D-alanine aminotransferase","6","6","1","1","10045","","","","863","863","863","FAPEHDJO_02295","PECMOLEC_00595","GAOMCEMF_04442","HOKMPMND_03154","LGNEOHGC_04514","ANOIEJPP_00817"
"group_1116","","hypothetical protein","6","6","1","1","10009","","","","131","194","162","FAPEHDJO_02321","PECMOLEC_00632","GAOMCEMF_04417","HOKMPMND_03121","LGNEOHGC_04487","ANOIEJPP_00854"
"group_112","","6-hydroxy-D-nicotine oxidase","6","6","1","1","4716","","","","1439","1484","1461","FAPEHDJO_02708","PECMOLEC_01114","GAOMCEMF_04033","HOKMPMND_02727","LGNEOHGC_04085","ANOIEJPP_01250"
"group_1120","","putative 5-dehydro-4-deoxyglucarate dehydratase","6","6","1","1","9961","","","","923","923","923","FAPEHDJO_02354","PECMOLEC_00669","GAOMCEMF_04383","HOKMPMND_03079","LGNEOHGC_04454","ANOIEJPP_00891"
"melD_8","","Melibiose/raffinose/stachyose import permease protein MelD","6","6","1","1","9949","","","","1037","1037","1037","FAPEHDJO_02365","PECMOLEC_00682","GAOMCEMF_04372","HOKMPMND_03067","LGNEOHGC_04443","ANOIEJPP_00904"
"iolS_1","","Aldo-keto reductase IolS","6","6","1","1","9932","","","","983","983","983","FAPEHDJO_02379","PECMOLEC_00690","GAOMCEMF_04364","HOKMPMND_03060","LGNEOHGC_04437","ANOIEJPP_00911"
"birA_1","","Bifunctional ligase/repressor BirA","6","6","1","1","9926","","","","671","701","686","FAPEHDJO_02383","PECMOLEC_00694","GAOMCEMF_04360","HOKMPMND_03056","LGNEOHGC_04433","ANOIEJPP_00915"
"group_1124","","hypothetical protein","6","6","1","1","9917","","","","359","359","359","FAPEHDJO_02390","PECMOLEC_00702","GAOMCEMF_04353","HOKMPMND_03049","LGNEOHGC_04426","ANOIEJPP_00923"
"qorA","","Quinone oxidoreductase 1","6","6","1","1","9913","","","","683","980","860","FAPEHDJO_02394","PECMOLEC_00706","GAOMCEMF_04349","HOKMPMND_03045","LGNEOHGC_04422","ANOIEJPP_00927"
"appA_1","","Oligopeptide-binding protein AppA","6","6","1","1","9890","","","","1526","1832","1762","FAPEHDJO_02412","PECMOLEC_00727","GAOMCEMF_04331","HOKMPMND_03025","LGNEOHGC_04403","ANOIEJPP_00946"
"group_1132","","hypothetical protein","6","6","1","1","9877","","","","308","806","723","FAPEHDJO_02422","PECMOLEC_00738","GAOMCEMF_04321","HOKMPMND_03014","LGNEOHGC_04392","ANOIEJPP_00957"
"fabF_2","","3-oxoacyl-[acyl-carrier-protein] synthase 2","6","6","1","1","9859","","","","764","1265","1181","FAPEHDJO_02438","PECMOLEC_00753","GAOMCEMF_04305","HOKMPMND_02998","LGNEOHGC_04376","ANOIEJPP_00971"
"ycaD_1","","putative MFS-type transporter YcaD","6","6","1","1","9839","","","","1208","1250","1236","FAPEHDJO_02454","PECMOLEC_00773","GAOMCEMF_04289","HOKMPMND_02978","LGNEOHGC_04360","ANOIEJPP_00990"
"hilA_1","","Transcriptional regulator HilA","6","6","1","1","9837","","","","1508","1508","1508","FAPEHDJO_02455","PECMOLEC_00775","GAOMCEMF_04287","HOKMPMND_02976","LGNEOHGC_04359","ANOIEJPP_00992"
"group_1137","","hypothetical protein","6","6","1","1","9831","","","","287","287","287","FAPEHDJO_02459","PECMOLEC_00779","GAOMCEMF_04283","HOKMPMND_02972","LGNEOHGC_04355","ANOIEJPP_00996"
"petE","","Plastocyanin","6","6","1","1","9830","","","","470","479","477","FAPEHDJO_02460","PECMOLEC_00780","GAOMCEMF_04282","HOKMPMND_02971","LGNEOHGC_04354","ANOIEJPP_00997"
"group_1139","","hypothetical protein","6","6","1","1","9826","","","","389","404","401","FAPEHDJO_02464","PECMOLEC_00784","GAOMCEMF_04278","HOKMPMND_02967","LGNEOHGC_04350","ANOIEJPP_01001"
"group_1143","","hypothetical protein","6","6","1","1","9815","","","","2462","3245","3088","FAPEHDJO_02471","PECMOLEC_00791","GAOMCEMF_04271","HOKMPMND_02962","LGNEOHGC_04343","ANOIEJPP_01008"
"pxpC_1","","5-oxoprolinase subunit C","6","6","1","1","9800","","","","935","947","945","FAPEHDJO_02486","PECMOLEC_00811","GAOMCEMF_04253","HOKMPMND_02946","LGNEOHGC_04327","ANOIEJPP_01029"
"pxpA_1","","5-oxoprolinase subunit A","6","6","1","1","9795","","","","725","779","752","FAPEHDJO_02489","PECMOLEC_00814","GAOMCEMF_04250","HOKMPMND_02943","LGNEOHGC_04324","ANOIEJPP_01032"
"dtd3","","D-aminoacyl-tRNA deacylase","6","6","1","1","9783","","","","782","782","782","FAPEHDJO_02496","PECMOLEC_00821","GAOMCEMF_04243","HOKMPMND_02936","LGNEOHGC_04317","ANOIEJPP_01039"
"tmk","","Thymidylate kinase","6","6","1","1","9778","","","","710","710","710","FAPEHDJO_02500","PECMOLEC_00825","GAOMCEMF_04238","HOKMPMND_02932","LGNEOHGC_04313","ANOIEJPP_01043"
"rlpA_1","","Endolytic peptidoglycan transglycosylase RlpA","6","6","1","1","9776","","","","1094","1142","1110","FAPEHDJO_02502","PECMOLEC_00827","GAOMCEMF_04236","HOKMPMND_02930","LGNEOHGC_04311","ANOIEJPP_01046"
"ribZ","","Riboflavin transporter RibZ","6","6","1","1","9755","","","","1424","1442","1430","FAPEHDJO_02510","PECMOLEC_00835","GAOMCEMF_04227","HOKMPMND_02922","LGNEOHGC_04281","ANOIEJPP_01054"
"trpC","","Indole-3-glycerol phosphate synthase","6","6","1","1","9742","","","","380","812","740","FAPEHDJO_02524","PECMOLEC_00848","GAOMCEMF_04215","HOKMPMND_02908","LGNEOHGC_04268","ANOIEJPP_01067"
"moeA","","Molybdopterin molybdenumtransferase","6","6","1","1","9740","","","","1223","1223","1223","FAPEHDJO_02526","PECMOLEC_00850","GAOMCEMF_04213","HOKMPMND_02906","LGNEOHGC_04266","ANOIEJPP_01069"
"group_1154","","hypothetical protein","6","6","1","1","9729","","","","914","1856","1691","FAPEHDJO_02535","PECMOLEC_00854","GAOMCEMF_04204","HOKMPMND_02902","LGNEOHGC_04257","ANOIEJPP_01073"
"citA","","Citrate synthase 1","6","6","1","1","9726","","","","1088","1121","1093","FAPEHDJO_02538","PECMOLEC_00857","GAOMCEMF_04201","HOKMPMND_02899","LGNEOHGC_04254","ANOIEJPP_01076"
"group_1156","","hypothetical protein","6","6","1","1","9723","","","","521","539","531","FAPEHDJO_02541","PECMOLEC_00859","GAOMCEMF_04198","HOKMPMND_02896","LGNEOHGC_04251","ANOIEJPP_01078"
"group_1157","","hypothetical protein","6","6","1","1","9689","","","","275","275","275","FAPEHDJO_02569","PECMOLEC_00888","GAOMCEMF_04169","HOKMPMND_02865","LGNEOHGC_04223","ANOIEJPP_01108"
"ribN_2","","Riboflavin transporter","6","6","1","1","9523","","","","371","920","821","FAPEHDJO_02583","PECMOLEC_00991","GAOMCEMF_04154","HOKMPMND_02848","LGNEOHGC_04209","ANOIEJPP_01123"
"carB_2","","Carbamoyl-phosphate synthase large chain","6","6","1","1","9520","","","","1631","2021","1761","FAPEHDJO_02586","PECMOLEC_00993","GAOMCEMF_04151","HOKMPMND_02846","LGNEOHGC_04207","ANOIEJPP_01125"
"nadE_1","","Glutamine-dependent NAD(+) synthetase","6","6","1","1","4703","","","","179","1679","1071","FAPEHDJO_02721","PECMOLEC_01125","GAOMCEMF_04023","HOKMPMND_02717","LGNEOHGC_04072","ANOIEJPP_01260"
"group_1162","","hypothetical protein","6","6","1","1","9513","","","","509","512","510","FAPEHDJO_02592","PECMOLEC_01000","GAOMCEMF_04145","HOKMPMND_02839","LGNEOHGC_04201","ANOIEJPP_01131"
"anmK","","Anhydro-N-acetylmuramic acid kinase","6","6","1","1","9480","","","","1118","1118","1118","FAPEHDJO_02618","PECMOLEC_01026","GAOMCEMF_04120","HOKMPMND_02813","LGNEOHGC_04175","ANOIEJPP_01156"
"efp","","Elongation factor P","6","6","1","1","1585","","","","569","569","569","FAPEHDJO_04717","PECMOLEC_03142","GAOMCEMF_02093","HOKMPMND_00678","LGNEOHGC_02105","ANOIEJPP_03345"
"group_11656","","hypothetical protein","6","6","1","1","491","","","","527","527","527","FAPEHDJO_00452","PECMOLEC_06588","GAOMCEMF_00221","HOKMPMND_06697","LGNEOHGC_06656","ANOIEJPP_06367"
"group_11657","","hypothetical protein","6","6","1","1","10292","","","","365","365","365","FAPEHDJO_05687","PECMOLEC_04120","GAOMCEMF_05986","HOKMPMND_04665","LGNEOHGC_01148","ANOIEJPP_04298"
"rpsB","","30S ribosomal protein S2","6","6","1","1","10094","","","","767","767","767","FAPEHDJO_02253","PECMOLEC_00553","GAOMCEMF_04485","HOKMPMND_03195","LGNEOHGC_04554","ANOIEJPP_00776"
"group_11659","","hypothetical protein","6","6","1","1","6826","","","","1205","1205","1205","FAPEHDJO_01345","PECMOLEC_07354","GAOMCEMF_01047","HOKMPMND_00281","LGNEOHGC_05648","ANOIEJPP_05811"
"rppH_1","","RNA pyrophosphohydrolase","6","6","1","1","9465","","","","419","422","421","FAPEHDJO_02627","PECMOLEC_01034","GAOMCEMF_04110","HOKMPMND_02804","LGNEOHGC_04165","ANOIEJPP_01165"
"divK_2","","Polar-differentiation response regulator DivK","6","6","1","1","6378","","","","371","371","371","FAPEHDJO_06759","PECMOLEC_05230","GAOMCEMF_04953","HOKMPMND_03575","LGNEOHGC_00095","ANOIEJPP_05394"
"group_11661","rbsB_4","Ribose import binding protein RbsB","6","6","1","1","4654","","","","929","929","929","FAPEHDJO_02756","PECMOLEC_01166","GAOMCEMF_03987","HOKMPMND_02682","LGNEOHGC_04037","ANOIEJPP_01302"
"phyR_1","","Phyllosphere-induced regulator PhyR","6","6","1","1","11634","","","","794","794","794","FAPEHDJO_03845","PECMOLEC_02210","GAOMCEMF_02970","HOKMPMND_01599","LGNEOHGC_02944","ANOIEJPP_02399"
"group_11663","","hypothetical protein","6","6","1","1","9870","","","","155","155","155","FAPEHDJO_02429","PECMOLEC_00745","GAOMCEMF_04314","HOKMPMND_03006","LGNEOHGC_04385","ANOIEJPP_00964"
"group_11664","","hypothetical protein","6","6","1","1","8897","","","","194","194","194","FAPEHDJO_05132","PECMOLEC_03556","GAOMCEMF_06565","HOKMPMND_05189","LGNEOHGC_01688","ANOIEJPP_03777"
"livH_6","","High-affinity branched-chain amino acid transport system permease protein LivH","6","6","1","1","11701","","","","902","902","902","FAPEHDJO_03903","PECMOLEC_02265","GAOMCEMF_02914","HOKMPMND_01544","LGNEOHGC_02888","ANOIEJPP_02455"
"group_11666","","hypothetical protein","6","6","1","1","13023","","","","152","152","152","FAPEHDJO_05267","PECMOLEC_03672","GAOMCEMF_06436","HOKMPMND_05090","LGNEOHGC_01563","ANOIEJPP_03889"
"group_11667","","hypothetical protein","6","6","1","1","10111","","","","203","203","203","FAPEHDJO_02239","PECMOLEC_00537","GAOMCEMF_04499","HOKMPMND_03210","LGNEOHGC_04568","ANOIEJPP_00758"
"group_11668","","hypothetical protein","6","6","1","1","3366","","","","224","224","224","FAPEHDJO_03254","PECMOLEC_01577","GAOMCEMF_03556","HOKMPMND_02210","LGNEOHGC_03595","ANOIEJPP_01764"
"group_11669","","hypothetical protein","6","6","1","1","4171","","","","314","314","314","FAPEHDJO_03011","PECMOLEC_01341","GAOMCEMF_03794","HOKMPMND_02446","LGNEOHGC_03843","ANOIEJPP_01479"
"rplN","","50S ribosomal protein L14","6","6","1","1","6457","","","","368","368","368","FAPEHDJO_06812","PECMOLEC_05289","GAOMCEMF_04877","HOKMPMND_03519","LGNEOHGC_00041","ANOIEJPP_05452"
"fdxE","","Ferredoxin-6","6","6","1","1","4734","","","","320","320","320","FAPEHDJO_02689","PECMOLEC_01095","GAOMCEMF_04050","HOKMPMND_02744","LGNEOHGC_04104","ANOIEJPP_01229"
"upp","","Uracil phosphoribosyltransferase","6","6","1","1","8930","","","","629","629","629","FAPEHDJO_05106","PECMOLEC_03529","GAOMCEMF_06591","HOKMPMND_05215","LGNEOHGC_01714","ANOIEJPP_03750"
"cheW_1","","Chemotaxis protein CheW","6","6","1","1","3580","","","","470","470","470","FAPEHDJO_03404","PECMOLEC_01737","GAOMCEMF_03405","HOKMPMND_02051","LGNEOHGC_03437","ANOIEJPP_01929"
"rplC","","50S ribosomal protein L3","6","6","1","1","6446","","","","641","641","641","FAPEHDJO_06802","PECMOLEC_05278","GAOMCEMF_04887","HOKMPMND_03529","LGNEOHGC_00051","ANOIEJPP_05442"
"gatC","","Glutamyl-tRNA(Gln) amidotransferase subunit C","6","6","1","1","11060","","","","287","287","287","FAPEHDJO_02188","PECMOLEC_00462","GAOMCEMF_04653","HOKMPMND_03305","LGNEOHGC_04695","ANOIEJPP_00704"
"hlyU_1","","Transcriptional activator HlyU","6","6","1","1","3782","","","","293","293","293","FAPEHDJO_03561","PECMOLEC_01895","GAOMCEMF_03258","HOKMPMND_01897","LGNEOHGC_03233","ANOIEJPP_02088"
"group_11677","","DNA-binding protein HRL53","6","6","1","1","6331","","","","275","275","275","FAPEHDJO_06715","PECMOLEC_05184","GAOMCEMF_04996","HOKMPMND_03621","LGNEOHGC_00136","ANOIEJPP_05348"
"cpdR_2","","Response regulator receiver protein CpdR","6","6","1","1","7848","","","","362","362","362","FAPEHDJO_04210","PECMOLEC_02626","GAOMCEMF_02605","HOKMPMND_01169","LGNEOHGC_02583","ANOIEJPP_02829"
"group_11679","","hypothetical protein","6","6","1","1","10008","","","","227","227","227","FAPEHDJO_02322","PECMOLEC_00633","GAOMCEMF_04416","HOKMPMND_03120","LGNEOHGC_04486","ANOIEJPP_00855"
"rutB_2","","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB","6","6","1","1","4731","","","","302","560","512","FAPEHDJO_02693","PECMOLEC_01098","GAOMCEMF_04047","HOKMPMND_02741","LGNEOHGC_04100","ANOIEJPP_01233"
"cspA_3","","Cold shock protein CspA","6","6","1","1","1922","","","","209","209","209","FAPEHDJO_06305","PECMOLEC_04766","GAOMCEMF_05406","HOKMPMND_04061","LGNEOHGC_00540","ANOIEJPP_04936"
"group_11681","","hypothetical protein","6","6","1","1","10242","","","","449","449","449","FAPEHDJO_05723","PECMOLEC_04167","GAOMCEMF_05953","HOKMPMND_04632","LGNEOHGC_01115","ANOIEJPP_04341"
"ihfA","","Integration host factor subunit alpha","6","6","1","1","6261","","","","338","338","338","FAPEHDJO_06659","PECMOLEC_05130","GAOMCEMF_05049","HOKMPMND_03682","LGNEOHGC_00188","ANOIEJPP_05295"
"group_11683","","hypothetical protein","6","6","1","1","3860","","","","260","260","260","FAPEHDJO_03621","PECMOLEC_01963","GAOMCEMF_03196","HOKMPMND_01836","LGNEOHGC_03172","ANOIEJPP_02157"
